No.,English,华语,漢字,漳泉音字,白話字
1,I,我,我,와ˊ,wá
2,you (singular),你,汝,루ˊ,lú
3,he,他,伊,이·,i
4,we,我们,我人 / wa̋ng,와ˊ랑ˆ / 왕,wá-lâng
5,you (plural),你们,汝人 / loa̋ng,루ˊ랑ˆ / 뢍,lú-lâng
6,they,他们,伊人 / ia̋ng,이·랑ˆ / 양,i—lâng
7,this,这个,這个,짇·릐ˆ / 즤·릐·,chit-lê / che-le
8,that,那个,彼个,힏·릐ˆ / 희·릐·,hit-lê / he—le
9,here,这边,即爿,짇·븽ˆ,chit-pêng
10,there,那边,彼爿,힏·븽ˆ,hit-pêng
11,who,谁,誰誰,쥐-쥐-,chūi-chūi
12,what,什么,哈乜,하밓',ha--mi̍h
13,where,哪里,佗落,도ˊ롷',tó-lo̍h
14,when,几时,治時,디-시ˆ,tī-sî
15,how,怎样,按怎,안ˋ좌ᇫˊ,àn-chóaⁿ
16,not,不是,毋是,음-시-,m̄-sī
17,all,全部,徦了,가ˊᄅᆤˊ,ká-liáu
18,many,多,濟,즤-,chē
19,some,有些,有兮,우-의ˆ,ū-ê
20,few,少,少,죠ˊ,chió
21,other,别的,別黎,받'릐ˆ,pa̍t-lê
22,one,一,一,짇',chi̍t
23,two,二,二 / 兩,찌- / 너-,jī / nō͘
24,three,三,三,사ᇫ·,saⁿ
25,four,四,四,시ˋ,sì
26,five,五,五,꺼-,gō͘
27,big,大,大,돠-,tōa
28,long,长,長,등ˆ,tn̂g
29,wide,阔,闊,쾋·,khoah
30,thick,厚,厚,ᄀᅷ-,kāu
31,heavy,重,重,당-,tāng
32,small,小,細,싀ˋ,sè
33,short,短,短,듸ˊ,té
34,narrow,窄,隘,읳',e̍h
35,thin,瘦,㾪,산ˊ,sán
36,woman,女人,查某,자·뻐ˊ,cha-bó͘
37,man (male),男人,焦埔,다·버·,ta-po͘
38,man (human),人,人,랑ˆ,lâng
